t,theta,omega,energy
0.239,0.593977,-1.54469,2.87328
0.24,0.59243,-1.55018,2.87328
0.241,0.590877,-1.55565,2.87328
0.242,0.589319,-1.56111,2.87328
0.243,0.587755,-1.56655,2.87328
0.244,0.586185,-1.57199,2.87328
0.245,0.584611,-1.57741,2.87328
0.246,0.583031,-1.58281,2.87328
0.247,0.581445,-1.58821,2.87328
0.248,0.579854,-1.59359,2.87328
0.249,0.578258,-1.59896,2.87328
0.25,0.576656,-1.60431,2.87328
0.251,0.575049,-1.60966,2.87328
0.252,0.573437,-1.61498,2.87328
0.253,0.571819,-1.6203,2.87328
0.254,0.570196,-1.6256,2.87328
0.255,0.568568,-1.63089,2.87328
0.256,0.566935,-1.63617,2.87328
0.257,0.565296,-1.64143,2.87328
0.258,0.563652,-1.64668,2.87328
0.259,0.562003,-1.65191,2.87328
0.26,0.560348,-1.65713,2.87328
0.261,0.558688,-1.66234,2.87328
0.262,0.557023,-1.66753,2.87328
0.263,0.555353,-1.67271,2.87328
0.264,0.553678,-1.67788,2.87328
0.265,0.551997,-1.68303,2.87328
0.266,0.550312,-1.68816,2.87328
0.267,0.548621,-1.69329,2.87328
0.268,0.546925,-1.6984,2.87328
0.269,0.545224,-1.70349,2.87328
0.27,0.543518,-1.70857,2.87328
0.271,0.541807,-1.71364,2.87328
0.272,0.540091,-1.71869,2.87328
0.273,0.53837,-1.72373,2.87328
0.274,0.536644,-1.72875,2.87328
0.275,0.534912,-1.73376,2.87328
0.276,0.533176,-1.73875,2.87328
0.277,0.531435,-1.74373,2.87328
0.278,0.529689,-1.74869,2.87328
0.279,0.527937,-1.75364,2.87328
0.28,0.526181,-1.75858,2.87328
0.281,0.52442,-1.7635,2.87328
0.282,0.522654,-1.7684,2.87328
0.283,0.520884,-1.77329,2.87328
0.284,0.519108,-1.77816,2.87328
0.285,0.517327,-1.78302,2.87328
0.286,0.515542,-1.78787,2.87328
0.287,0.513751,-1.7927,2.87328
0.288,0.511956,-1.79751,2.87328
0.289,0.510156,-1.80231,2.87328
0.29,0.508352,-1.80709,2.87328
0.291,0.506542,-1.81186,2.87328
0.292,0.504728,-1.81661,2.87328
0.293,0.502909,-1.82135,2.87328
0.294,0.501085,-1.82607,2.87328
